CRN,Class Name,Time Start,Time End,Days,Date Start,Date End,Building,Room
15817,AERO 6460,9:30 am,10:45 am,TR,"Aug 17, 2026","Dec 11, 2026",Charles E Davis Aerospace Hall,255
15819,AERO 6630,12:00 pm,12:50 pm,MWF,"Aug 17, 2026","Dec 11, 2026",Charles E Davis Aerospace Hall,355
18117,AERO 7130,3:30 pm,4:45 pm,TR,"Aug 17, 2026","Dec 11, 2026",Charles E Davis Aerospace Hall,354
15820,AERO 7170,11:00 am,12:15 pm,MW,"Aug 17, 2026","Dec 11, 2026",Charles E Davis Aerospace Hall,356
15822,AERO 7200,2:00 pm,3:15 pm,TR,"Aug 17, 2026","Dec 11, 2026",Ramsay Hall,201
15828,AERO 7450,10:00 am,10:50 am,MWF,"Aug 17, 2026","Dec 11, 2026",Ramsay Hall,202A
17765,AERO 7460,3:30 pm,4:45 pm,TR,"Aug 17, 2026","Dec 11, 2026",Charles E Davis Aerospace Hall,356
15832,AERO 7520,11:00 am,12:15 pm,MW,"Aug 17, 2026","Dec 11, 2026",Ramsay Hall,201
15833,AERO 7530,1:00 pm,2:15 pm,MW,"Aug 17, 2026","Dec 11, 2026",Ramsay Hall,201
15835,AERO 7950,9:00 am,9:50 am,WF,"Aug 17, 2026","Dec 11, 2026",Charles E Davis Aerospace Hall,355
15837,AERO 7970,11:00 am,12:15 pm,TR,"Aug 17, 2026","Dec 11, 2026",Charles E Davis Aerospace Hall,356
15838,AERO 7970,8:00 am,9:15 am,TR,"Aug 17, 2026","Dec 11, 2026",Charles E Davis Aerospace Hall,356
15839,AERO 7970,12:30 pm,1:45 pm,TR,"Aug 17, 2026","Dec 11, 2026",Ramsay Hall,202A
14255,AIRF 1010,10:00 am,10:50 am,W,"Aug 17, 2026","Dec 11, 2026",Lowder Hall,125A
14256,AIRF 1010,1:00 pm,1:50 pm,W,"Aug 17, 2026","Dec 11, 2026",Haley Center,2182
14258,AIRF 2010,11:00 am,11:50 am,W,"Aug 17, 2026","Dec 11, 2026",Nichols Hall,146
14259,AIRF 2010,11:00 am,11:50 am,R,"Aug 17, 2026","Dec 11, 2026",Nichols Hall,146
14260,AIRF 3010,6:00 am,8:50 am,M,"Aug 17, 2026","Dec 11, 2026",Nichols Hall,146
14263,AIRF 4010,4:30 pm,7:30 pm,M,"Aug 17, 2026","Dec 11, 2026",Nichols Hall,108
15877,AAAS 2000,9:30 am,10:45 am,TR,"Aug 17, 2026","Dec 11, 2026",Lowder Hall,4
15471,AGEC 1000,10:00 am,10:50 am,MWF,"Aug 17, 2026","Dec 11, 2026",Haley Center,1403
15472,AGEC 3010,11:00 am,11:50 am,MWF,"Aug 17, 2026","Dec 11, 2026",Haley Center,2212
18094,AGEC 3050,1:00 pm,1:50 pm,MW,"Aug 17, 2026","Dec 11, 2026",Haley Center,2352
15474,AGEC 3100,11:00 am,12:15 pm,TR,"Aug 17, 2026","Dec 11, 2026",Charles E Davis Aerospace Hall,123
15475,AGEC 3100,9:30 am,10:45 am,TR,"Aug 17, 2026","Dec 11, 2026",Charles E Davis Aerospace Hall,123
15477,AGEC 3300,8:00 am,9:15 am,TR,"Aug 17, 2026","Dec 11, 2026",Haley Center,3353
15479,AGEC 4000,9:00 am,9:50 am,MWF,"Aug 17, 2026","Dec 11, 2026",Haley Center,2423
15480,AGEC 4040,3:30 pm,4:45 pm,TR,"Aug 17, 2026","Dec 11, 2026",Haley Center,2116
15481,AGEC 4070,2:00 pm,3:15 pm,TR,"Aug 17, 2026","Dec 11, 2026",Haley Center,1403
15482,AGEC 4970,2:00 pm,2:50 pm,T,"Aug 17, 2026","Dec 11, 2026",Haley Center,2462
15483,AGEC 5090,12:30 pm,1:45 pm,TR,"Aug 17, 2026","Dec 11, 2026",Haley Center,1403
15484,AGEC 5100,11:00 am,12:15 pm,TR,"Aug 17, 2026","Dec 11, 2026",Haley Center,1403
15485,AGEC 6090,12:30 pm,1:45 pm,TR,"Aug 17, 2026","Dec 11, 2026",Haley Center,1403
15486,AGEC 6100,11:00 am,12:15 pm,TR,"Aug 17, 2026","Dec 11, 2026",Haley Center,1403
15490,AGEC 7590,2:00 pm,3:15 pm,TR,"Aug 17, 2026","Dec 11, 2026",Haley Center,3187
15491,AGEC 7700,3:30 pm,4:45 pm,TR,"Aug 17, 2026","Dec 11, 2026",Haley Center,2462
18104,AGEC 8090,2:00 pm,3:15 pm,TR,"Aug 17, 2026","Dec 11, 2026",Haley Center,2423
18105,AGEC 8690,1:00 pm,1:50 pm,MWF,"Aug 17, 2026","Dec 11, 2026",Haley Center,3362
13912,AGRI 1000,3:30 pm,4:45 pm,T,"Aug 17, 2026","Dec 11, 2026",Upchurch Hall,203
13912,AGRI 1000,3:30 pm,5:30 pm,R,"Aug 17, 2026","Dec 11, 2026",Swingle Hall,301
13913,AGRI 1080,11:00 am,12:15 pm,TR,"Aug 17, 2026","Dec 11, 2026",Upchurch Hall,218
13914,AGRI 3000,8:00 am,8:50 am,MWF,"Aug 17, 2026","Dec 11, 2026",Rouse Life Sciences Bldg,112
13914,AGRI 3000,1:00 pm,2:50 pm,T,"Aug 17, 2026","Dec 11, 2026",Rouse Life Sciences Bldg,112
13915,AGRI 3000,8:00 am,8:50 am,MWF,"Aug 17, 2026","Dec 11, 2026",Rouse Life Sciences Bldg,112
13915,AGRI 3000,3:00 pm,4:50 pm,W,"Aug 17, 2026","Dec 11, 2026",Swingle Hall,301
13916,AGRI 3000,8:00 am,8:50 am,MWF,"Aug 17, 2026","Dec 11, 2026",Rouse Life Sciences Bldg,112
13916,AGRI 3000,1:00 pm,2:50 pm,R,"Aug 17, 2026","Dec 11, 2026",Swingle Hall,301
13917,AGRI 3800,9:30 am,10:45 am,TR,"Aug 17, 2026","Dec 11, 2026",Rouse Life Sciences Bldg,112
13920,AGRI 6010,1:00 pm,2:15 pm,TR,"Aug 17, 2026","Dec 11, 2026",Haley Center,3362
13921,AGRI 7820,3:00 pm,4:50 pm,R,"Aug 17, 2026","Dec 11, 2026",STEM and Agric Science Complex,2111
10119,ANSC 1000,8:00 am,8:50 am,MWF,"Aug 17, 2026","Dec 11, 2026",Thach Hall,112
10119,ANSC 1000,1:00 pm,2:50 pm,W,"Aug 17, 2026","Dec 11, 2026",Upchurch Hall,203
10120,ANSC 1000,8:00 am,8:50 am,MWF,"Aug 17, 2026","Dec 11, 2026",Thach Hall,112
10120,ANSC 1000,1:00 pm,2:50 pm,W,"Aug 17, 2026","Dec 11, 2026",Upchurch Hall,203
10121,ANSC 1000,8:00 am,8:50 am,MWF,"Aug 17, 2026","Dec 11, 2026",Thach Hall,112
10121,ANSC 1000,3:00 pm,4:50 pm,W,"Aug 17, 2026","Dec 11, 2026",Upchurch Hall,203
10122,ANSC 1000,8:00 am,8:50 am,MWF,"Aug 17, 2026","Dec 11, 2026",Thach Hall,112
10122,ANSC 1000,3:00 pm,4:50 pm,W,"Aug 17, 2026","Dec 11, 2026",Upchurch Hall,203
10123,ANSC 1050,10:00 am,10:50 am,MW,"Aug 17, 2026","Dec 11, 2026",Upchurch Hall,220
10123,ANSC 1050,3:00 pm,4:50 pm,R,"Aug 17, 2026","Dec 11, 2026",Upchurch Hall,218
10124,ANSC 1050,10:00 am,10:50 am,MW,"Aug 17, 2026","Dec 11, 2026",Upchurch Hall,220
10124,ANSC 1050,3:00 pm,4:50 pm,M,"Aug 17, 2026","Dec 11, 2026",Upchurch Hall,218
